penalty_start_depth,decision_time,layer_id,layer_name,lookback_minutes,root_size,root_edges,leaf_count,leaf_median,leaf_p90,leaf_max,mean_top_sector_share,median_top_sector_share,p90_top_sector_share,sector_pure_60_count,sector_pure_80_count
1,2026-01-06 14:44:00+00:00,12,flow_return_alignment,30,3357,4822,153,10.0,18.0,49,0.3031379236101208,0.2857142857142857,0.4,5,0
1,2026-01-06 15:14:00+00:00,1,return_corr_raw_1m,30,4361,5109,206,9.0,13.0,59,0.3084607340967483,0.3,0.4444444444444444,1,0
1,2026-01-06 15:44:00+00:00,7,block_activity,30,864,1066,42,10.5,29.9,39,0.3037024585977788,0.3,0.415,1,0
1,2026-01-06 15:44:00+00:00,1,return_corr_raw_1m,30,4185,4903,185,9.0,12.599999999999994,60,0.3009314744038569,0.2727272727272727,0.4266666666666664,1,0
1,2026-01-06 15:44:00+00:00,12,flow_return_alignment,30,3920,5259,209,10.0,20.0,56,0.29998490130514777,0.2857142857142857,0.387692307692308,1,0
1,2026-01-06 14:44:00+00:00,11,absorption,30,4059,5556,202,10.0,18.0,36,0.2992496425329071,0.274294670846395,0.4150000000000001,1,0
2,2026-01-06 14:44:00+00:00,12,flow_return_alignment,30,3357,4822,153,11.0,21.0,37,0.30239758767084455,0.2857142857142857,0.4,5,0
2,2026-01-06 15:44:00+00:00,7,block_activity,30,864,1066,42,10.5,29.9,39,0.3037024585977788,0.3,0.415,1,0
2,2026-01-06 14:44:00+00:00,11,absorption,30,4059,5556,195,11.0,18.0,36,0.2991963007617594,0.2857142857142857,0.40526315789473677,1,0
2,2026-01-06 15:14:00+00:00,1,return_corr_raw_1m,30,4361,5109,251,12.0,18.0,44,0.29621562050099994,0.2857142857142857,0.42307692307692313,1,0
3,2026-01-06 14:44:00+00:00,12,flow_return_alignment,30,3357,4822,153,11.0,21.0,37,0.30239758767084455,0.2857142857142857,0.4,5,0
3,2026-01-06 15:44:00+00:00,7,block_activity,30,864,1066,42,10.5,29.9,39,0.3037024585977788,0.3,0.415,1,0
3,2026-01-06 14:44:00+00:00,11,absorption,30,4059,5556,195,11.0,18.0,36,0.2991963007617594,0.2857142857142857,0.40526315789473677,1,0
3,2026-01-06 15:14:00+00:00,1,return_corr_raw_1m,30,4361,5109,251,12.0,18.0,44,0.29621562050099994,0.2857142857142857,0.42307692307692313,1,0
