layer_name,layer_id,snapshots,communities,paths,first_snapshot_communities,continuations,continuation_rate,stable_paths_ge15min,stable_ratio_ge15min,stable_paths_ge30min,stable_ratio_ge30min,p50_duration_min,p90_duration_min,p99_duration_min,max_duration_min,p50_size,p90_size,max_size,avg_modularity
block_activity@30m,7,379,13760,6587,38,7173,0.5227372103191954,129,0.0195840291483224,0,0.0,1.0,5.0,16.0,29,11.0,25.0,77,0.9749059958104672
return_corr_cross_sectional_rolling_5m@30m,15,367,15663,8337,46,7326,0.4691041813408465,29,0.0034784694734316,0,0.0,1.0,4.0,10.0,25,47.0,87.0,172,0.9126398159865416
return_corr_raw_1m@15m,1,381,28073,20035,73,8038,0.2870714285714286,0,0.0,0,0.0,1.0,2.0,11.659999999999854,14,57.0,104.0,219,0.8848633379318176
return_corr_raw_1m@30m,1,371,23159,17164,90,5995,0.2598725562443105,31,0.0018061058028431,2,0.0001165229550221,1.0,2.0,7.0,30,56.0,94.0,212,0.9207183813995377
large_trade_flow@30m,5,379,13240,10010,58,3230,0.2450311030192687,7,0.0006993006993006,0,0.0,1.0,2.0,7.0,28,10.0,33.0,113,0.9861585317286284
return_corr_cross_sectional_1m@15m,14,381,25965,20247,68,5718,0.2207977758041472,0,0.0,0,0.0,1.0,2.0,7.0,14,62.0,103.0,225,0.8716614856995447
return_corr_cross_sectional_1m@30m,14,371,20327,16088,64,4239,0.2091990327197354,16,0.000994530084535,1,6.215813028344107e-05,1.0,2.0,6.0,30,62.0,98.0,207,0.9102107896341356
flow_return_alignment@5m,12,388,5220,4495,3,725,0.1389687559900325,0,0.0,0,0.0,1.0,2.0,4.0,7,10.0,13.0,26,0.9791205746493692
volume_expansion@15m,2,383,65477,56714,64,8763,0.1339641967193065,1,1.763233064146419e-05,0,0.0,1.0,1.0,6.0,17,13.0,33.0,224,0.9880483775270732
absorption@5m,11,388,53972,48028,108,5944,0.1103519976236447,0,0.0,0,0.0,1.0,1.0,4.0,13,14.0,45.0,135,0.9905043047859944
report_latency@5m,13,388,56261,50573,94,5688,0.1012694286680791,0,0.0,0,0.0,1.0,1.0,4.0,11,16.0,46.0,151,0.9906402308862278
price_impact@15m,10,383,63311,57093,146,6218,0.0984405921000554,1,1.7515282083617956e-05,0,0.0,1.0,1.0,4.0,26,11.0,20.0,128,0.9951902241052576
volume_expansion@5m,2,388,35631,32450,42,3181,0.0893815504790806,0,0.0,0,0.0,1.0,1.0,4.0,10,36.0,85.0,179,0.97701654315842
price_impact@5m,10,388,49674,45482,109,4192,0.0845758095430243,1,2.198672002110725e-05,0,0.0,1.0,1.0,3.0,16,15.0,45.0,123,0.9900286259118082
absorption@15m,11,383,69515,63742,162,5773,0.0832408115005839,1,1.5688243230523047e-05,0,0.0,1.0,1.0,4.0,15,11.0,22.0,162,0.9928750359743536
volume_expansion@30m,2,379,57264,52894,81,4370,0.0764213140268961,6,0.0001134344160018,0,0.0,1.0,1.0,3.0,19,10.0,19.0,125,0.99563113874204
