layer_name,layer_id,snapshots,communities,paths,stable_paths_ge5,stable_ratio,p50_duration,p90_duration,max_duration,p50_size,p90_size,max_size,avg_modularity,first_snapshot_communities,avg_snapshot_communities,continuations,continuation_rate
block_activity@30m,7,76,2774,1736,99,0.0570276497695852,1.0,3.0,6,11.0,24.0,72,0.975089281948524,45,36.5,1038,0.3803591058995969
large_trade_flow@30m,5,76,2677,2189,26,0.0118775696665143,1.0,2.0,13,10.0,33.0,104,0.9865708071708342,59,35.223684210526315,488,0.186401833460657
return_corr_raw_1m@15m,1,76,5609,4833,0,0.0,1.0,2.0,3,56.0,104.0,206,0.8852892469458162,80,73.80263157894737,776,0.14035087719298245
return_corr_cross_sectional_rolling_5m@30m,15,73,3110,2705,12,0.0044362292051756,1.0,2.0,9,47.0,86.09999999999991,149,0.9122170369342194,46,42.602739726027394,405,0.13218015665796345
return_corr_raw_1m@30m,1,74,4614,4172,21,0.0050335570469798,1.0,1.0,8,56.0,94.0,203,0.9203487881075508,81,62.351351351351354,442,0.09750716964482682
return_corr_cross_sectional_1m@30m,14,74,4045,3736,15,0.0040149892933618,1.0,1.0,7,62.0,98.0,174,0.9097588372303224,60,54.66216216216216,309,0.07754077791718945
return_corr_cross_sectional_1m@15m,14,76,5177,4798,0,0.0,1.0,1.0,3,62.0,103.0,207,0.8716596020201166,74,68.11842105263158,379,0.0742700372330002
volume_expansion@15m,2,77,13038,12177,4,0.0003284881333661,1.0,1.0,7,13.0,34.0,204,0.987825253217709,64,169.32467532467533,861,0.06636349622321566
volume_expansion@30m,2,76,11375,10806,25,0.0023135295206366,1.0,1.0,10,10.0,19.0,110,0.9955895167033472,83,149.67105263157896,569,0.05038965639390719
price_impact@15m,10,77,12691,12064,4,0.0003315649867374,1.0,1.0,13,11.0,21.0,128,0.9951117086515124,146,164.8181818181818,627,0.049980071741729776
flow_return_alignment@30m,12,76,13069,12529,24,0.0019155559102881,1.0,1.0,6,11.0,26.200000000000728,171,0.979280369437197,123,171.96052631578948,540,0.04171172562953808
absorption@15m,11,77,13937,13374,2,0.000149543891132,1.0,1.0,6,11.0,22.0,143,0.992775576003005,162,181.0,563,0.040871238031919185
price_impact@30m,10,76,9884,9629,14,0.0014539412192335,1.0,1.0,10,10.0,36.0,122,0.987188353339531,177,130.05263157894737,255,0.026272445853390574
trade_intensity@15m,3,77,13963,13709,4,0.0002917791224742,1.0,1.0,11,11.0,28.0,186,0.9867607723727452,146,181.33766233766235,254,0.018379750886443626
flow_return_alignment@15m,12,77,10006,9827,0,0.0,1.0,1.0,3,11.0,26.0,182,0.974303594732107,57,129.94805194805195,179,0.017990752839481354
absorption@30m,11,76,9477,9312,8,0.0008591065292096,1.0,1.0,7,11.0,39.400000000001455,150,0.9845735734931092,176,124.69736842105263,165,0.017743791001075153
trade_intensity@30m,3,76,8428,8285,3,0.0003620995775497,1.0,1.0,5,11.0,57.0,205,0.9805100642005476,133,110.89473684210526,143,0.01724291742013261
signed_flow@15m,4,77,14512,14279,1,7.003291547028504e-05,1.0,1.0,5,11.0,25.0,166,0.9907400179302028,198,188.46753246753246,233,0.0162765139024731
off_exchange@15m,8,77,14994,14758,4,0.0002710394362379,1.0,1.0,9,11.0,28.0,191,0.9893660830197756,187,194.72727272727272,236,0.015938407509279395
odd_lot_activity@15m,6,77,15106,14891,2,0.0001343093143509,1.0,1.0,6,11.0,27.0,150,0.9899481920504408,176,196.1818181818182,215,0.014400214477295925
