score,target,layer_id,scale,level,days,sample_count,mean_rank_ic,mean_spread,positive_day_rate
daily_pressure_score,target_5m_mean_proxy,9,15m,B50,20,3679818,-0.0015114814792379853,-1.5987862e-05,0.35
daily_pressure_score,target_5m_mean_proxy,9,15m,B35,20,3758967,-0.0013302637211242408,-1.2246974e-05,0.4
daily_pressure_score,target_5m_mean_proxy,9,30m,B50,20,4658919,-0.001761158324454205,-2.0240293e-05,0.45
daily_pressure_score,target_5m_mean_proxy,9,30m,B35,20,4661052,-0.0017142067862019807,-1.958723e-05,0.45
daily_pressure_score,target_5m_mean_proxy,8,15m,B50,20,4579285,-0.0016777998024766418,-1.6536667e-05,0.45
daily_pressure_score,target_5m_mean_proxy,8,15m,B35,20,4586808,-0.0016791942538293525,-1.6330223e-05,0.5
daily_pressure_score,target_5m_mean_proxy,8,30m,B50,20,4443813,-0.001024034002204178,-9.0132135e-06,0.55
daily_pressure_score,target_5m_mean_proxy,8,30m,B35,20,4446715,-0.0011191452599879986,-1.0444734e-05,0.55
daily_pressure_score,target_5m_mean_proxy,6,15m,B50,20,4608588,-0.0017172295408557855,-2.2370228e-05,0.45
daily_pressure_score,target_5m_mean_proxy,6,15m,B35,20,4613544,-0.001691478401176898,-2.2121905e-05,0.4
daily_pressure_score,target_5m_mean_proxy,6,30m,B50,20,4278464,-0.0018375066139889433,-1.3169503e-05,0.5
daily_pressure_score,target_5m_mean_proxy,6,30m,B35,20,4279465,-0.0018063914854432352,-1.2783412e-05,0.5
daily_pressure_score,target_5m_mean_proxy,3,15m,B50,20,4238713,-0.0020918210325669368,-1.3452396e-05,0.4
daily_pressure_score,target_5m_mean_proxy,3,15m,B35,20,4245379,-0.0018983384837632632,-1.1414038e-05,0.4
daily_pressure_score,target_5m_mean_proxy,3,30m,B50,20,3305678,0.0016296325308464733,1.2989377e-05,0.5
daily_pressure_score,target_5m_mean_proxy,3,30m,B35,20,3314538,0.0015550001537371649,1.236491e-05,0.55
daily_pressure_score,target_5m_mean_proxy,11,15m,B50,20,3041193,-0.00244156923358676,-1.6503775e-05,0.5
daily_pressure_score,target_5m_mean_proxy,11,15m,B35,20,3070447,-0.0022420736265725523,-1.3856197e-05,0.5
daily_pressure_score,target_5m_mean_proxy,11,30m,B50,20,3160070,-0.001771905688858878,-2.3798313e-05,0.4
daily_pressure_score,target_5m_mean_proxy,11,30m,B35,20,3162274,-0.0017588831215532437,-2.3328652e-05,0.4
daily_pressure_score,target_15m_mean_proxy,9,15m,B50,20,3582376,0.003457028789320279,5.193372e-05,0.6
daily_pressure_score,target_15m_mean_proxy,9,15m,B35,20,3657932,0.00379318366348221,6.239522e-05,0.6
